Timestamp,Association_Accuracy_Percent,Localization_Trajectory_RMSE_m,Localization_Final_Drift_m,Mapping_Total_Visible_Cones,Mapping_Estimated_Cones,Mapping_Size_Error_Cones,Mapping_Positional_RMSE_m
2026-03-16 23:10:32,100.0,0.529,0.609,67,66,1,0.72
2026-03-16 23:11:23,100.0,1.19,1.71,67,67,0,0.709
2026-03-16 23:18:18,100.0,0.575,0.505,67,66,1,0.699
2026-03-16 23:18:41,100.0,0.594,0.972,67,65,2,0.713
